License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
July 08 2004,431917,Aubrey,Dog,"Retriever, Chesapeake Bay",,
July 16 2004,419606,Kali,Dog,Bernese Mountain Dog,,98117
July 17 2004,125424,Georgette,Dog,"Poodle, Standard",,98115
August 08 2004,422633,Maggie,Dog,"Retriever, Labrador",,98103
September 12 2004,337960,Molly,Dog,"Retriever, Labrador",,98112
October 12 2004,422701,Ruby,Dog,"Retriever, Labrador",,
October 20 2004,716564,Phoebe,Dog,Akita,,
November 16 2004,723662,Buttons,Dog,Dalmatian,,98115
November 23 2004,282561,Saffron,Dog,"Terrier, Boston","Terrier, Yorkshire",98101
January 07 2005,11051,Osa,Dog,"Terrier, American Pit Bull","Retriever, Labrador",98102
March 22 2005,130787,Lady,Dog,"Terrier, American Pit Bull",,98117
March 23 2005,130032,Bubbles,Dog,"Retriever, Chesapeake Bay",Mix,98115
March 24 2005,130920,Bella,Dog,"Retriever, Golden",,98126
March 26 2005,131003,Cola,Dog,"Dachshund, Standard Smooth Haired",,98115
May 19 2005,201967,Baker,Dog,Brittany,,98125
June 05 2005,347819,Jewell,Dog,"Terrier, American Pit Bull",,98118
June 10 2005,265976,Molly,Dog,"Retriever, Labrador",,98112
June 16 2005,345684,Emma,Dog,"Poodle, Toy",,98126
June 29 2005,951837,Sheba,Dog,"Terrier, American Pit Bull",,
June 30 2005,125389,Lucy,Dog,Weimaraner,,98103
July 11 2005,895475,Clara,Dog,"Retriever, Labrador",Rottweiler,98126
July 13 2005,576304,Sky,Dog,Siberian Husky,Mix,98125
July 14 2005,432677,Supper,Dog,"Dachshund, Standard Smooth Haired",Terrier,98118
August 02 2005,572801,Tilley,Dog,Terrier,Mix,98108
August 11 2005,201935,Misha,Dog,German Shepherd,,98122
August 26 2005,719683,Hazel,Dog,Bernese Mountain Dog,,98107
September 03 2005,719951,Zoe,Dog,"Terrier, American Pit Bull",,98103
September 06 2005,560974,Carrie,Dog,Chow Chow,,98108
September 11 2005,717955,Biscuit,Dog,"Bulldog, American",,98136
September 13 2005,721061,Jasmine,Dog,Rottweiler,Mix,98117
September 14 2005,721041,Molly,Dog,"Terrier, Yorkshire",,
September 17 2005,721217,Bellei,Dog,"Spaniel, American Cocker",,98136
September 17 2005,944325,Clover,Dog,"Retriever, Golden",,98105
October 17 2005,819228,Sheba,Dog,German Shepherd,,98125
November 09 2005,271996,Seren,Dog,Terrier,,98126
November 16 2005,707709,Jazzmine,Dog,Samoyed,,98115
December 09 2005,954738,Sasha,Dog,Rottweiler,,98106
December 10 2005,954732,Lena,Dog,"Retriever, Labrador",Mix,98115
December 20 2005,954866,Angel,Dog,"Terrier, American Staffordshire",,98177
December 21 2005,894316,Lyna,Dog,Xoloitzcuintli,,98106
December 22 2005,950571,Olive,Dog,"Pointer, German Shorthaired",,98102
December 31 2005,951925,Madison,Dog,"Terrier, American Pit Bull",,98103
January 26 2006,19796,Molly,Dog,"Chihuahua, Short Coat","Terrier, Jack Russell",98115
February 17 2006,75391,Michaena,Dog,Alaskan Malamute,,98115
March 08 2006,131654,Lily,Dog,"Spaniel, Cavalier King Charles",,98112
March 09 2006,895445,Zuzu,Dog,German Shepherd,,98116
March 21 2006,205250,Midnight,Dog,Shih Tzu,Terrier,98117
March 22 2006,71410,Madonna,Dog,"Dachshund, Standard Smooth Haired",Mix,98103
March 22 2006,126728,Casey,Dog,Havanese,,98119
March 23 2006,15829,Shady,Dog,"Terrier, American Pit Bull",,98144
March 25 2006,137742,Jasmine,Dog,Affenpinscher,,98102
April 03 2006,951847,Lady,Dog,Siberian Husky,,98118
April 13 2006,193501,Katie,Dog,"Retriever, Labrador",Rottweiler,98103
June 04 2006,348613,Nicki,Dog,Shetland Sheepdog,Mix,98119
June 07 2006,348664,Diamond,Dog,"Terrier, American Pit Bull",,98107
June 18 2006,348881,Dotty,Dog,Australian Cattle Dog,Mix,98112
June 21 2006,348887,Joelyn,Dog,"Retriever, Golden","Retriever, Labrador",98199
June 23 2006,348973,Cali,Dog,"Welsh Corgi, Cardigan",Beagle,98178
June 26 2006,269540,Rosie,Dog,"Retriever, Labrador",Mix,98117
June 26 2006,352074,Pinduli,Dog,"Chihuahua, Short Coat",Shih Tzu,98117
June 28 2006,340272,Libelula,Dog,Xoloitzcuintli,,98144
July 01 2006,435472,Flash,Dog,Basset Hound,,98115
July 11 2006,421215,Belle,Dog,"Retriever, Labrador","Retriever, Golden",98125
July 13 2006,344361,Molly,Dog,"Spaniel, Welsh Springer",,98177
July 17 2006,436123,Hero,Dog,Shetland Sheepdog,Terrier,98119
July 17 2006,436116,Mojo,Dog,"Retriever, Labrador",Border Collie,98119
July 19 2006,426434,Cali,Dog,"Terrier, American Pit Bull",,98125
July 20 2006,435784,Jasmine,Dog,Bichon Frise,,98107
July 29 2006,436184,Fidel,Dog,"Terrier, Norwich",,98116
July 31 2006,571314,Zap,Dog,German Shepherd,"Retriever, Labrador",98117
August 01 2006,575222,Asha,Dog,Beagle,,98109
August 01 2006,575223,Daisy,Dog,Siberian Husky,Mix,98109
August 16 2006,562913,Tess,Dog,"Retriever, Labrador",Mix,98125
August 17 2006,432249,Phoebe,Dog,Hound,,98103
August 18 2006,575594,Luca,Dog,Miniature Pinscher,,98102
August 18 2006,944921,Brandy,Dog,"Dachshund, Standard Smooth Haired",,98106
August 24 2006,566046,Kelly,Dog,Pomeranian,"Poodle, Miniature",98119
August 24 2006,64391,Shishi,Dog,Xoloitzcuintli,,98105
August 27 2006,575759,Lucy,Dog,Border Collie,Mix,98122
September 10 2006,132373,Karma,Dog,"Terrier, American Pit Bull",,98118
September 26 2006,712101,Precious,Dog,Maltese,,98115
September 28 2006,572906,Misty,Dog,"Dachshund, Standard Smooth Haired",,98116
October 09 2006,826884,Lila,Dog,Rottweiler,,98108
October 18 2006,206953,Sasha,Dog,Border Collie,Australian Shepherd,98119
October 19 2006,826324,Cupcake,Dog,"Terrier, Yorkshire",,98116
October 25 2006,132384,Bailey,Dog,Bernese Mountain Dog,,98107
November 06 2006,814066,Pebbles,Dog,Pomeranian,Pekingese,98118
November 13 2006,275358,Dc,Dog,Xoloitzcuintli,,98106
November 14 2006,439557,Neko,Dog,"Terrier, American Staffordshire",,98116
November 16 2006,894070,,Dog,Chow Chow,Mix,98118
November 16 2006,18184,MURPHY,Dog,Pug,Beagle,98103
December 05 2006,955535,Darby,Dog,"Retriever, Labrador",,98115
December 06 2006,959078,Lady,Dog,Doberman Pinscher,,98122
December 08 2006,19585,Luna,Dog,Terrier,Mix,98127
December 10 2006,959600,Onyx,Dog,"Retriever, Labrador",,98117
December 11 2006,125893,Sweetie,Dog,"Retriever, Labrador",Mix,98122
December 17 2006,955623,Baby,Dog,"Retriever, Labrador",Shepherd,98125
December 20 2006,951638,Beulah,Dog,Spaniel,Mix,98117
December 20 2006,132457,Molly,Dog,"Retriever, Labrador",,98136
December 30 2006,898461,Baby,Dog,"Terrier, American Pit Bull",,98122
December 31 2006,955861,Dakota,Dog,Chow Chow,German Shepherd,98105
January 11 2007,20289,Lily,Dog,German Shepherd,Mix,98112
January 17 2007,9570,Rudy,Dog,"Bulldog, American",,98105
January 17 2007,439549,Calypso,Dog,"Poodle, Standard",,98116
January 22 2007,20701,Bella,Dog,Boxer,Shepherd,98177
January 25 2007,20805,Gypsy,Dog,Border Collie,"Retriever, Labrador",98106
January 29 2007,18039,Sara,Dog,"Retriever, Golden",German Shepherd,65126
January 29 2007,576136,Lite,Dog,"Retriever, Labrador",Mix,98118
February 02 2007,721771,Misty,Dog,"Terrier, American Pit Bull",,98118
February 05 2007,576271,Emily,Dog,Shepherd,Mix,98107
February 05 2007,76384,Ella,Dog,"Retriever, Labrador",German Shepherd,98116
February 07 2007,76213,Copper,Dog,"Terrier, Jack Russell",,98103
February 07 2007,75651,Sabrina,Dog,"Terrier, Yorkshire",,98126
February 10 2007,431789,Morgan,Dog,Newfoundland,,98199
February 12 2007,76660,Mochi DePina,Dog,"Retriever, Golden","Poodle, Standard",98109
February 14 2007,15175,Rosie,Dog,Rottweiler,Mix,
February 16 2007,76118,Mazi,Dog,Rottweiler,Mix,98117
February 18 2007,75588,Ruby,Dog,"Setter, Irish",,98136
February 24 2007,955144,Bugg,Dog,"Terrier, Boston",,98117
February 25 2007,76157,Diva,Dog,Terrier,,98178
February 25 2007,76124,Butch,Dog,"Poodle, Standard",,98146
February 26 2007,21071,Rosie,Dog,Border Collie,,98103
February 26 2007,21012,Scout,Dog,Shepherd,,98105
March 04 2007,132993,Lucy,Dog,"Terrier, American Pit Bull",,98155
March 13 2007,207223,Abbey,Dog,Beagle,,98126
March 13 2007,207225,Marco,Dog,Beagle,,98126
March 13 2007,207635,Zena,Dog,Siberian Husky,Akita,98107
March 15 2007,207235,Abby,Dog,Italian Greyhound,,98102
March 17 2007,74661,Sasha,Dog,Chinese Shar-Pei,,98117
March 23 2007,130289,Beulah,Dog,"Terrier, Boston",,98199
March 23 2007,130290,Winnie,Dog,Border Collie,,98199
March 24 2007,572121,Ona,Dog,"Retriever, Labrador",Pointer,98106
March 24 2007,134216,Pearl,Dog,"Terrier, Airedale",Australian Shepherd,98122
March 26 2007,134405,Maxi,Dog,"Poodle, Toy",,98144
April 02 2007,207690,Frankie,Dog,Lhasa Apso,Mix,98115
April 02 2007,70832,Hannah,Dog,Shetland Sheepdog,Catahoula Leopard dog,98107
April 04 2007,207729,Lady,Dog,German Shepherd,,98118
April 06 2007,206975,Angel,Dog,"Retriever, Golden",,98177
April 11 2007,351707,Bambi,Dog,"Retriever, Labrador",Mix,98106
April 12 2007,207924,Shelby,Dog,Xoloitzcuintli,,98127
April 12 2007,205499,Chenmie,Dog,Boxer,,98107
April 19 2007,208987,Iceiss,Dog,"Retriever, Labrador",,98118
April 24 2007,209037,Lola,Dog,Pug,,98103
April 24 2007,79482,Brielle,Dog,"Retriever, Labrador",Mix,98118
April 28 2007,77852,Brandy,Dog,"Retriever, Golden",,98117
May 01 2007,275801,Lady,Dog,"Dachshund, Standard Smooth Haired",,98103
May 01 2007,126530,Madison,Dog,"Terrier, American Pit Bull",Mix,98102
May 04 2007,205640,Summit,Dog,"Retriever, Golden",,98118
May 05 2007,351714,Maggie,Dog,German Shepherd,,98106
May 08 2007,265737,Bella,Dog,"Terrier, Scottish",Mix,98105
May 09 2007,274344,Honey,Dog,"Retriever, Golden",,98146
May 11 2007,271840,Noelle,Dog,Alaskan Malamute,,98115
May 16 2007,276120,Bella,Dog,"Chihuahua, Short Coat",,98108
May 16 2007,276110,Star,Dog,"Chihuahua, Short Coat",,98108
May 17 2007,276408,Big Barda,Dog,Shiba Inu,Mix,98122
May 19 2007,274479,Avery,Dog,"Terrier, American Pit Bull",,98136
May 23 2007,205137,Nina,Dog,"Retriever, Golden",Mix,98136
June 03 2007,351804,Chloe,Dog,"Terrier, Jack Russell",,98126
June 04 2007,352510,Ginger,Dog,Lhasa Apso,,98122
June 05 2007,256259,Peenut,Dog,Spaniel,,98102
June 09 2007,275728,Senorita,Dog,"Poodle, Miniature",,98115
June 15 2007,354688,Tali,Dog,"Retriever, Labrador",Mix,98113
June 19 2007,352731,Otter,Dog,"Retriever, Labrador",,98106
June 19 2007,352704,Zia,Dog,"Retriever, Labrador",,98106
June 19 2007,352758,Bailey,Dog,"Retriever, Labrador",Doberman Pinscher,98115
June 25 2007,353836,Adia,Dog,"Chihuahua, Short Coat",,98136
June 25 2007,353848,Cheyenne,Dog,"Chihuahua, Short Coat",,98136
July 02 2007,436837,Pepper,Dog,Beagle,,98119
July 10 2007,437110,,Dog,"Retriever, Labrador",,97213
July 10 2007,426273,Charlotte,Dog,Great Dane,,98115
July 17 2007,437215,Metta,Dog,"Terrier, American Pit Bull",,98101
July 18 2007,348006,Aggie,Dog,"Chihuahua, Short Coat",Mix,98101
July 18 2007,954618,Juju,Dog,"Chihuahua, Short Coat",,98101
July 20 2007,431772,Gigi Josette,Dog,Lhasa Apso,Mix,98107
July 21 2007,344140,Dottie,Dog,Xoloitzcuintli,,98108
July 23 2007,437480,Maddie,Dog,"Terrier, American Pit Bull",,98136
July 24 2007,347581,Coco,Dog,"Terrier, Rat",,98106
July 26 2007,437284,Digitty,Dog,Rottweiler,Mix,98115
July 28 2007,437355,Coco,Dog,Border Collie,Mix,98115
July 30 2007,205550,Elle,Dog,"Retriever, Golden",,98136
August 01 2007,274283,Pinky,Dog,"Poodle, Toy",,98136
August 03 2007,574620,Daisy,Dog,"Poodle, Standard",,98109
August 05 2007,275731,MoMo,Dog,"Bulldog, English",,98106
August 06 2007,577028,Kaiya,Dog,Shepherd,"Retriever, Labrador",98117
August 07 2007,432973,Libby,Dog,"Pointer, German Wirehaired",Australian Cattle Dog,98107
August 08 2007,432885,Allie,Dog,Xoloitzcuintli,,98105
