finish,start,car_number,driver,car_name/entrant,make_model,status,laps,LED,winnings,year
27,4,4,Johnny Aitken,National,National/National,Rod,125,8,$0,1911
28,9,9,Will Jones,Case,Case/Wisconsin,Steering,122,0,$0,1911
29,1,1,Lewis Strang,Case,Case/Wisconsin,Steering,108,0,$0,1911
30,7,7,Harry Knight,Westcott,Westcott/Westcott,Accident,90,0,$0,1911
31,8,8,Joe Jagersberger,Case,Case/Wisconsin,Accident,87,0,$0,1911
32,31,35,Herb Lytle,Apperson,Apperson/Apperson,Accident,82,0,$0,1911
33,17,19,Harry Grant,Alco,Alco/Alco,Bearings,51,0,$0,1911
34,15,17,Charles Basle,Buick,Buick/Buick,Mechanical,46,0,$0,1911
35,5,5,Louis Disbrow,Pope-Hartford,Pope-Hartford/Pope-Hartford,Accident,45,0,$0,1911
36,14,16,Arthur Chevrolet,Buick,Buick/Buick,Mechanical,30,0,$0,1911
37,35,39,Caleb Bragg,Fiat,Fiat/Fiat,Mechanical,23,0,$0,1911
38,21,24,Fred Ellis,Jackson,Jackson/Jackson,Fire damage,22,0,$0,1911
39,30,34,Teddy Tetzlaff,Lozier,Lozier/Lozier,Accident,20,0,$0,1911
40,38,44,Art Greiner,Amplex,Amplex/Amplex,Accident,12,0,$0,1911
1,7,8,Joe Dawson,National,National/National,78.719,200,2,"$20,000",1912
2,3,3,Teddy Tetzlaff,Fiat,Fiat/Fiat,76.632,200,2,"$10,000",1912
3,17,21,Hughie Hughes,Mercer,Mercer/Mercer,76.307,200,0,"$5,000",1912
4,22,28,Charlie Merz,Stutz,Stutz/Wisconsin,76.014,200,0,"$3,000",1912
5,15,18,Bill Endicott,Schacht,Schacht/Wisconsin,73.807,200,0,"$2,500",1912
6,2,2,Len Zengel,Stutz,Stutz/Wisconsin,73.088,200,0,"$2,000",1912
7,11,14,Johnny Jenkins,White,White/White,72.704,200,0,"$1,500",1912
8,18,22,Joe Horan,Lozier,Lozier/Lozier,71.491,200,0,"$1,400",1912
9,8,9,Howdy Wilcox,National,National/National,69.525,200,0,"$1,300",1912
10,16,19,Ralph Mulford,Knox,Knox/Knox,56.285,200,0,"$1,200",1912
11,4,4,Ralph DePalma,Mercedes,Mercedes/Mercedes,Piston,198,196,$0,1912
12,12,15,Bob Burman,Cutting,Cutting/Cutting,Accident,156,0,$0,1912
13,10,12,Bert Dingley,Simplex,Simplex/Simplex,Rod,116,0,$0,1912
14,21,25,Joe Matson,Lozier,Lozier/Lozier,Crankshaft,107,0,$0,1912
15,6,7,Spencer Wishart,Mercedes,Mercedes/Mercedes,Water line,82,0,$0,1912
16,1,1,Gil Anderson,Stutz,Stutz/Wisconsin,Accident,79,0,$0,1912
17,14,17,Billy Liesaw,Marquette-Buick,Marquette/Buick,Carb. Fire,72,0,$0,1912
18,24,5,Louis Disbrow,Case,Case/Case,Differ. pin,67,0,$0,1912
19,19,23,Mel Marquette,McFarlan,McFarlan/McFarlan,Accident,63,0,$0,1912
20,5,6,Eddie Hearne,Case,Case/Case,Crankshaft,54,0,$0,1912
21,13,16,Eddie Rickenbacker,Firestone-Columbus,Firestone Col./Firestone Col.,Bearing,44,0,$0,1912
22,23,29,David Bruce-Brown,National,National/National,Valves,24,0,$0,1912
23,9,10,Harry Knight,Lexington,Lexington/Lexington,Engine trouble,7,0,$0,1912
24,20,24,Len Ormsby,Opel,Opel/Opel,Rod,5,0,$0,1912
1,7,16,Jules Goux,Peugeot,Peugeot/Peugeot,75.933,200,138,"$21,165",1913
2,19,22,Spencer Wishart,Mercer,Mercer/Mercer,73.489,200,0,"$10,165",1913
3,16,2,Charlie Merz,Stutz,Stutz/Wisconsin,73.382,200,0,"$5,165",1913
4,2,9,Albert Guyot,Sunbeam,Sunbeam/Sunbeam,70.925,200,0,"$3,500",1913
5,13,23,Theodore Pilette,Mercedes-Knight,Mercedes/Knight,68.148,200,0,"$3,000",1913
6,20,12,Howdy Wilcox,Gray Fox,Pope-Hartford/Pope-Hartford,67.653,200,0,"$2,200",1913
7,22,29,Ralph Mulford,Mercedes,Mercedes/Mercedes,66.951,200,0,"$1,800",1913
8,23,31,Louis Disbrow,Case,Case/Case,66.793,200,0,"$1,600",1913
9,15,35,Willie Haupt,Mason,Duesenberg/Duesenberg,63.481,200,0,"$1,500",1913
10,27,25,George Clark,Tulsa,Tulsa/Wisconsin,62.994,200,0,"$1,400",1913
11,21,4,Bob Burman,Keeton,Keeton/Wisconsin,Running,0,41,$0,1913
12,14,3,Gil Anderson,Stutz,Stutz/Wisconsin,Camshaft,187,18,$0,1913
13,4,5,Bob Evans,Mason,Duesenberg/Duesenberg,Clutch,158,2,$0,1913
14,3,17,Billy Liesaw,Anel,Buick/Buick,Rods,148,0,$0,1913
15,1,19,Caleb Bragg,Mercer,Mercer/Mercer,Pump shaft,128,1,$0,1913
16,11,10,Billy Knipper,Henderson,Knipper/Duesenberg,Clutch,125,0,$0,1913
17,8,27,Teddy Tetzlaff,Isotta-Fraschini,Isotta/Isotta,Broken chain,118,0,$0,1913
18,24,32,Joe Nikrent,Case,Case/Case,Bearings,67,0,$0,1913
19,25,6,Jack Tower,Mason,Duesenberg/Duesenberg,Accident,51,0,$0,1913
20,18,28,Vincenzo Trucco,Isotta-Fraschini,Isotta/Isotta,Loose tank,39,0,$0,1913
21,10,1,Harry Endicott,Nyberg,Nyberg/Nyberg,Drive shaft,23,0,$0,1913
22,26,15,Paolo Zuccarelli,Peugeot,Peugeot/Peugeot,Bearing,18,0,$0,1913
23,12,21,Ralph DePalma,Mercer,Mercer/Mercer,Bearings,15,0,$0,1913
24,6,26,Harry Grant,Isotta-Fraschini,Isotta/Isotta,Broken tank,14,0,$0,1913
25,17,18,Johnny Jenkins,Schacht,Schacht/Schacht,Crankshaft,13,0,$0,1913
26,5,8,Don Herr,Stutz,Stutz/Wisconsin,Clutch shaft,7,0,$0,1913
27,9,33,Bill Endicott,Case,Case/Case,Drive shaft,1,0,$0,1913
1,15,16,Rene Thomas,Delage,Delage/Delage,82.474,200,102,"$39,750",1914
2,10,14,Arthur Duray,Peugeot,Peugeot/Peugeot,80.994,200,77,"$10,450",1914
3,11,10,Albert Guyot,Delage,Delage/Delage,80.21,200,9,"$5,425",1914
4,19,6,Jules Goux,Peugeot,Peugeot/Peugeot,79.491,200,1,"$3,500",1914
5,30,3,Barney Oldfield,Stutz,Stutz/Stutz,78.156,200,0,"$3,000",1914
6,7,9,Josef Christiaens,Excelsior,Excelsior/Excelsior,77.439,200,9,"$2,200",1914
7,26,27,Harry Grant,Sunbeam,Sunbeam/Sunbeam,75.687,200,0,"$1,800",1914
8,27,5,Charlie Keene,Beaver Bullet,Keene/Wisconsin,74.822,200,0,"$1,600",1914
9,5,25,Billy Carlson,Maxwell,Maxwell/Maxwell,70.972,200,0,"$1,500",1914
10,23,42,Eddie Rickenbacker,Duesenberg,Duesenberg/Duesenberg,70.827,200,0,"$1,400",1914
11,6,23,Ralph Mulford,Mercedes,Mercedes/Peugeot,69.55,200,0,$0,1914
12,28,43,Willie Haupt,Duesenberg,Duesenberg/Duesenberg,66.66,200,0,$0,1914
13,12,31,Billy Knipper,Keeton,Keeton/Wisconsin,65.79,200,0,$0,1914
14,29,7,Georges Boillot,Peugeot,Peugeot/Peugeot,Frame,148,0,$0,1914
15,18,34,Ernst Friedrich,Bugatti,Bugatti/Bugatti,Pinion,134,0,$0,1914
16,24,1,Louis Disbrow,Burman,Burman/Wisconsin,Rod,128,0,$0,1914
17,25,19,Spencer Wishart,Mercer,Mercer/Mercer,Camshaft,122,0,$0,1914
18,14,2,Earl Cooper,Stutz,Stutz/Stutz,Wheel,118,0,$0,1914
19,9,21,Caleb Bragg,Mercer,Mercer/Mercer,Camshaft,117,1,$0,1914
20,8,15,Art Klein,King,King/Wisconsin,Valve,87,0,$0,1914
21,4,38,Billy Chandler,Braender Bulldog,Mulford/Duesenberg,Rod,69,0,$0,1914
22,3,4,Howdy Wilcox,Gray Fox,Fox/Pope-Hartford,Valve,67,1,$0,1914
23,13,13,George Mason,Mason,Duesenberg/Duesenberg,Piston,66,0,$0,1914
24,22,17,Bob Burman,Burman,Burman/Wisconsin,Rod,47,0,$0,1914
25,17,26,Joe Dawson,Marmon,Marmon/Marmon,Accident,44,0,$0,1914
26,16,24,Gil Anderson,Stutz,Stutz/Stutz,Loose bolts,42,0,$0,1914
27,20,49,Ray Gilhooly,Isotta-Fraschini,Isotta/Isotta,Accident,41,0,$0,1914
28,2,8,Teddy Tetzlaff,Maxwell,Maxwell/Maxwell,Rocker arm,38,0,$0,1914
29,1,12,Jean Chassagne,Sunbeam,Sunbeam/Sunbeam,Accident,20,0,$0,1914
30,21,48,S.F. Brock,Ray,Mercer/Wisconsin,Camshaft,5,0,$0,1914
1,2,2,Ralph DePalma,Mercedes,Mercedes/Mercedes,89.84,200,132,"$22,600",1915
2,3,3,Dario Resta,Peugeot,Peugeot/Peugeot,88.911,200,37,"$10,900",1915
3,5,5,Gil Anderson,Stutz,Stutz/Stutz,87.602,200,26,"$5,600",1915
4,4,4,Earl Cooper,Stutz,Stutz/Stutz,86.624,200,0,"$3,700",1915
5,11,15,Eddie O'Donnell,Duesenberg,Duesenberg/Duesenberg,81.473,200,0,"$3,000",1915
6,7,8,Bob Burman,Peugeot,Peugeot/Peugeot,80.359,200,0,"$2,200",1915
7,1,1,Howdy Wilcox,Stutz,Stutz/Stutz,80.143,200,5,"$1,800",1915
8,9,10,Tom Alley,Duesenberg,Duesenberg/Duesenberg,79.972,200,0,"$1,600",1915
9,16,19,Billy Carlson,Maxwell,Maxwell/Maxwell,78.962,200,0,"$1,500",1915
10,14,7,Noel Van Raalte,Sunbeam,Sunbeam/Sunbeam,75.874,200,0,"$1,400",1915
11,24,28,Willie Haupt,Emden,Emden/Emden,70.75,200,0,$0,1915
12,10,14,Harry Grant,Sunbeam,Sunbeam/Sunbeam,Oil Pan,184,0,$0,1915
13,17,21,Tom Orr,Maxwell,Maxwell/Maxwell,Bearing,168,0,$0,1915
14,6,6,Jean Porporato,Sunbeam,Sunbeam/Sunbeam,Piston,164,0,$0,1915
15,15,18,Joe Cooper,Sebring,Duesenberg/Duesenberg,Accident,154,0,$0,1915
16,18,22,Ralph Mulford,Duesenberg,Duesenberg/Duesenberg,Rod,124,0,$0,1915
17,12,12,George Babcock,Peugeot,Peugeot/Peugeot,Cylinder,117,0,$0,1915
18,8,9,Art Klein,Kleinart,Duesenberg/Duesenberg,Disqualified,111,0,$0,1915
19,19,23,Eddie Rickenbacker,Maxwell,Maxwell/Maxwell,Rod,103,0,$0,1915
20,23,27,Louis Chevrolet,Cornelian,Cornelian/Sterling,Valve,76,0,$0,1915
21,13,17,John DePalma,Delage,Delage/Delage,Loose flywheel,41,0,$0,1915
22,20,24,Johnny Mais,Mais,Mais/Mercer,Left track,23,0,$0,1915
23,22,26,George Hill,Bugatti,Bugatti/Bugatti,Pump gear,20,0,$0,1915
24,21,25,C.C. Cox,Cino-Purcell,Cino/Mercer,Timing gears,12,0,$0,1915
1,4,17,Dario Resta,Peugeot,Peugeot/Peugeot,84.001,120,103,"$12,000",1916
2,10,1,Wilbur D'Alene,Duesenberg,Duesenberg/Duesenberg,83.237,120,0,"$6,000",1916
3,20,10,Ralph Mulford,Peugeot,Peugeot/Peugeot,82.594,120,0,"$3,000",1916
4,14,14,Josef Christiaens,Sunbeam,Sunbeam/Sunbeam,79.435,120,0,"$2,000",1916
5,5,15,Barney Oldfield,Delage,Delage/Delage,79.185,120,0,"$1,700",1916
6,9,4,Pete Henderson,Maxwell,Maxwell/Maxwell,78.284,120,0,"$1,400",1916
7,6,29,Howdy Wilcox,Premier,Premier/Premier,76.754,120,0,"$1,200",1916
8,17,26,Art Johnson,Crawford,Crawford/Duesenberg,74.411,120,0,"$1,000",1916
9,15,24,Billy Chandler,Crawford,Crawford/Duesenberg,74.161,120,0,$900,1916
10,13,9,Ora Haibe,Ostewig,Ostewig/Wisconsin,74.043,120,0,$800,1916
11,19,12,Tom Alley,Ogren,Duesenberg/Duesenberg,73.55,120,0,$0,1916
12,21,8,Louis Chevrolet,Frontenac,Frontenac/Frontenac,Rod,82,0,$0,1916
13,3,28,Gil Anderson,Premier,Premier/Premier,Oil line,75,0,$0,1916
14,18,25,Dave Lewis,Crawford,Crawford/Duesenberg,Fuel tank,71,0,$0,1916
15,1,18,Johnny Aitken,Peugeot,Peugeot/Peugeot,Valve,69,8,$0,1916
16,12,21,Jules DeVigne,Delage,Delage/Delage,Accident,61,0,$0,1916
17,7,27,Tom Rooney,Premier,Premier/Premier,Accident,48,0,$0,1916
18,11,7,Arthur Chevrolet,Frontenac,Frontenac/Frontenac,Magneto,35,0,$0,1916
19,8,19,Charlie Merz,Peugeot,Peugeot/Peugeot,Lubrication,25,0,$0,1916
20,2,5,Eddie Rickenbacker,Maxwell,Maxwell/Maxwell,Steering,9,9,$0,1916
21,16,23,Aldo Franchi,Peusun,Peugeot/Sunbeam,Engine,9,0,$0,1916
1,2,3,Howdy Wilcox,Peugeot,Peugeot/Peugeot,88.05,200,98,"$20,000",1919
2,8,14,Eddie Hearne,Durant,Stutz/Stutz,87.087,200,0,"$10,000",1919
3,22,6,Jules Goux,Peugeot,Peugeot/Premier,85.935,200,0,"$5,000",1919
4,3,32,Albert Guyot,Ballot,Ballot/Ballot,84.443,200,0,"$3,500",1919
5,28,26,Tom Alley,Bender,Bender/Bender,82.177,200,0,"$3,000",1919
6,4,4,Ralph DePalma,Packard,Packard/Packard,81.042,200,93,"$2,200",1919
7,12,7,Louis Chevrolet,Frontenac,Frontenac/Frontenac,81.041,200,9,"$1,800",1919
8,10,27,Ira Vail,Hudson,Hudson/Hudson,80.494,200,0,"$1,600",1919
9,27,21,Denny Hickey,Stickle,Hoskins/Hudson,80.224,200,0,"$1,500",1919
10,16,41,Gaston Chevrolet,Frontenac,Frontenac/Frontenac,79.499,200,0,"$1,400",1919
11,1,31,Rene Thomas,Ballot,Ballot/Ballot,78.75,200,0,$0,1919
12,9,8,Earl Cooper,Stutz,Stutz/Stutz,78.6,200,0,$0,1919
13,29,23,Elmer Shannon,Shannon,Shannon/Duesenberg,76.95,200,0,$0,1919
14,26,17,Ora Haibe,Hudson,Hudson/Hudson,65.74,200,0,$0,1919
15,32,37,Andre Boillot,Baby Peugeot,Peugeot/Peugeot,Accident,195,0,$0,1919
16,21,48,Ray Howard,Peugeot,Peugeot/Peugeot,Lubrication,130,0,$0,1919
17,23,22,Wilbur D'Alene,Duesenberg,Duesenberg/Duesenberg,Axle,120,0,$0,1919
18,25,15,Louis LeCocq,Roamer,Duesenberg/Duesenberg,Accident,96,0,$0,1919
19,7,29,Art Klein,Peugeot,Peugeot/Peugeot,Oil line,70,0,$0,1919
20,11,19,Charles Kirkpatrick,Detroit,Mercedes copy/Mercedes copy,Rod,69,0,$0,1919
21,6,33,Paul Bablot,Ballot,Ballot/Ballot,Accident,63,0,$0,1919
22,5,10,Eddie O'Donnell,Duesenberg,Duesenberg/Duesenberg,Piston,60,0,$0,1919
23,24,12,Kurt Hitke,Roamer,Duesenberg/Duesenberg,Bearing,56,0,$0,1919
24,20,1,Cliff Durant,Chevrolet,Stutz/Stutz,Steering,54,0,$0,1919
25,31,9,Tommy Milton,Duesenberg,Duesenberg/Duesenberg,Rod,50,0,$0,1919
26,13,34,Louis Wagner,Ballot,Ballot/Ballot,Wheel,44,0,$0,1919
27,18,18,Arthur Thurman,Thurman,Duesenberg/Duesenberg,Accident,44,0,$0,1919
28,30,43,Omar Toft,Toft/Darco,Miller/Miller,Rod,44,0,$0,1919
29,15,2,Ralph Mulford,Frontenac,Frontenac/Frontenac,Driveshaft,37,0,$0,1919
30,33,36,J.J. McCoy,McCoy,McCoy/N/A,Oil line,36,0,$0,1919
31,14,39,Joe Boyer,Frontenac,Frontenac/Frontenac,Wheel,30,0,$0,1919
32,17,5,W.W. Brown,Richards,Brown/Hudson-Brett,Rod,14,0,$0,1919
33,19,28,Roscoe Sarles,Oldfield,Miller/Miller,Rocker arm,8,0,$0,1919
1,6,4,Gaston Chevrolet,Monroe,Frontenac/Frontenac,88.618,200,14,"$21,800",1920
2,18,25,Rene Thomas,Ballot,Ballot/Ballot,86.992,200,12,"$10,700",1920
3,11,10,Tommy Milton,Duesenberg,Duesenberg/Duesenberg,86.946,200,0,"$5,000",1920
4,15,12,Jimmy Murphy,Duesenberg,Duesenberg/Duesenberg,85.101,200,0,"$3,500",1920
5,1,2,Ralph DePalma,Ballot,Ballot/Ballot,82.12,200,79,"$11,300",1920
6,9,31,Eddie Hearne,Duesenberg,Duesenberg/Duesenberg,81.002,200,0,"$2,200",1920
7,4,26,Jean Chassagne,Ballot,Ballot/Ballot,79.941,200,1,"$1,900",1920
8,19,28,Joe Thomas,Monroe,Frontenac/Frontenac,78.597,200,0,"$1,600",1920
9,23,33,Ralph Mulford,Mulford,Mulford/Duesenberg,68.613,200,0,"$1,500",1920
10,17,15,Pete Henderson,Revere,Duesenberg/Duesenberg,67.583,200,0,"$1,400",1920
11,14,32,John Boling,Richards,Brett/Brett,Running,199,0,$0,1920
12,2,6,Joe Boyer,Frontenac,Frontenac/Frontenac,Accident,192,93,"$9,500",1920
13,10,9,Ray Howard,Peugeot,Peugeot/Peugeot,Camshaft,150,0,$0,1920
14,12,29,Eddie O'Donnell,Duesenberg,Duesenberg/Duesenberg,Oil line,149,0,$0,1920
15,21,16,Jules Goux,Peugeot,Peugeot/Peugeot,Engine,148,0,$0,1920
16,13,34,Willie Haupt,Meteor,Duesenberg/Duesenberg,Running,146,0,$0,1920
17,8,7,Bennett Hill,Frontenac,Frontenac/Frontenac,Accident,115,0,$0,1920
18,3,3,Louis Chevrolet,Monroe,Frontenac/Frontenac,Steering,94,0,$0,1920
19,20,18,Howdy Wilcox,Peugeot,Peugeot/Peugeot,Mechanical,65,0,$0,1920
20,7,5,Roscoe Sarles,Monroe,Frontenac/Frontenac,Accident,58,0,$0,1920
21,5,8,Art Klein,Frontenac,Frontenac/Frontenac,Accident,40,1,$100,1920
22,22,19,Jean Porporato,Gregoire,Gregoire/Gregoire,Ruled off,23,0,$0,1920
23,16,17,Andre Boillot,Peugeot,Peugeot/Peugeot,Engine,16,0,$0,1920
1,20,2,Tommy Milton,Frontenac,Frontenac/Frontenac,89.621,200,90,"$26,200",1921
2,2,6,Roscoe Sarles,Duesenberg Straight 8,Duesenberg/Duesenberg,88.608,200,1,"$10,100",1921
3,8,23,Percy Ford,Chicago Frontenac,Frontenac/Frontenac,85.025,200,0,"$5,000",1921
4,9,5,Eddie Miller,Duesenberg Straight 8,Duesenberg/Duesenberg,84.646,200,0,"$3,500",1921
5,13,16,Ora Haibe,Sunbeam,Sunbeam/Sunbeam,84.277,200,0,"$3,000",1921
6,14,9,Albert Guyot,Duesenberg Straight 8,Duesenberg/Duesenberg,83.035,200,0,"$2,000",1921
7,10,3,Ira Vail,Leach,Leach/Miller,80.152,200,0,"$1,800",1921
8,15,21,Bennett Hill,Duesenberg Straight 8,Duesenberg/Duesenberg,79.132,200,0,"$1,600",1921
9,21,8,Ralph Mulford,Frontenac,Frontenac/Frontenac,Running,177,0,"$1,500",1921
10,17,15,Rene Thomas,Sunbeam,Sunbeam/Sunbeam,Water hose,144,0,$0,1921
11,18,27,Tom Alley,Frontenac,Frontenac/Frontenac,Rod,133,0,$0,1921
12,1,4,Ralph DePalma,Ballot,Ballot/Ballot,Rod,112,108,"$10,600",1921
13,4,1,Eddie Hearne,Revere,Duesenberg/Duesenberg,Oil line,111,0,$0,1921
14,19,24,Jimmy Murphy,Duesenberg Straight 8,Duesenberg/Duesenberg,Accident,107,0,$0,1921
15,16,17,Riley Brett,Junior,Brett/Brett,Accident,91,0,$0,1921
16,23,28,C.W. Van Ranst,Frontenac,Frontenac/Frontenac,Water hose,87,0,$0,1921
17,3,7,Joe Boyer,Duesenberg Straight 8,Duesenberg/Duesenberg,Rear axle,74,1,$0,1921
18,6,19,Jean Chassagne,Peugeot,Peugeot/Peugeot,Lost hood,65,0,$0,1921
19,5,22,Jules Ellingboe,Frontenac,Frontenac/Frontenac,Steering,49,0,$0,1921
20,11,14,Andre Boillot,Talbot-Darracq,Sunbeam/Sunbeam,Bearing,41,0,$0,1921
21,7,18,Louis Fontaine,Junior,Brett/Brett,Accident,33,0,$0,1921
22,22,25,Joe Thomas,Duesenberg Straight 8,Duesenberg/Duesenberg,Accident,24,0,$0,1921
23,12,10,Howdy Wilcox,Peugeot,Peugeot/Peugeot,Rod,22,0,$0,1921
1,1,35,Jimmy Murphy,Murphy,Duesenberg/Miller,94.484,200,153,"$28,075",1922
2,2,12,Harry Hartz,Duesenberg Straight 8,Duesenberg/Duesenberg,93.534,200,42,"$10,000",1922
3,23,15,Eddie Hearne,Ballot,Ballot/Ballot,93.042,200,0,"$5,000",1922
4,3,17,Ralph DePalma,Duesenberg Straight 8,Duesenberg/Duesenberg,90.613,200,0,"$3,500",1922
5,14,31,Ora Haibe,Duesenberg Straight 8,Duesenberg/Duesenberg,90.573,200,0,"$3,000",1922
6,7,24,Jerry Wonderlich,Duesenberg Straight 8,Duesenberg/Duesenberg,88.789,200,0,"$2,200",1922
7,13,21,I.P. Fetterman,Duesenberg Straight 8,Duesenberg/Duesenberg,87.996,200,0,"$1,800",1922
8,9,1,Ira Vail,Disteel Duesenberg,Duesenberg/Duesenberg,86.128,200,0,"$1,600",1922
9,12,26,Tom Alley,Monroe,Frontenac/Frontenac,84.295,200,0,"$1,500",1922
10,17,10,Joe Thomas,Duesenberg Straight 8,Duesenberg/Duesenberg,82.553,200,0,"$1,400",1922
11,16,3,"E. G ""Cannonball"" Baker",Frontenac,Frontenac/Frontenac,79.25,200,0,$0,1922
12,11,34,Cliff Durant,Durant,Miller/Miller,77.75,200,0,$0,1922
13,19,22,Douglas Hawkes,Bentley,Bentley/Bentley,74.95,200,0,$0,1922
14,27,18,Jack Curtner,Fronty-Ford,Ford T/Fronty-Ford,Running,165,0,$0,1922
15,18,25,Wilbur D'Alene,Monroe,Frontenac/Frontenac,Running,160,0,$0,1922
16,8,9,Frank Elliott,Leach,Miller/Miller,Rear axle,195,0,$0,1922
17,15,27,L.L. Corum,Monroe,Frontenac/Frontenac,Mechanical,169,0,$0,1922
18,21,19,C. Glenn Howard,Fronty-Ford,Ford T/Fronty-Ford,Mechanical,163,0,$0,1922
19,5,5,Ralph Mulford,Frontenac,Frontenac/Frontenac,Rod,161,0,$0,1922
20,10,7,Pete DePaolo,Frontenac,Frontenac/Frontenac,Accident,110,3,$0,1922
21,25,6,Art Klein,Frontenac,Frontenac/Frontenac,Rod,105,0,$0,1922
22,4,4,Leon Duray,Frontenac,Frontenac/Frontenac,Axle,94,2,$0,1922
23,6,2,Roscoe Sarles,Frontenac,Frontenac/Frontenac,Rod,88,0,$0,1922
24,24,8,Tommy Milton,Leach,Milton/Miller,Fuel tank,44,0,$0,1922
25,22,14,Jules Goux,Ballot,Ballot/Ballot,Axle,25,0,$0,1922
26,20,23,Jules Ellingboe,Duesenberg Straight 8,Duesenberg/Duesenberg,Accident,25,0,$0,1922
27,26,16,Howdy Wilcox,Peugeot,Peugeot/Peugeot,Valve spring,7,0,$0,1922
1,1,1,Tommy Milton,H.C.S.,Miller/Miller,90.954,200,128,"$28,700",1923
2,2,7,Harry Hartz,Durant,Miller/Miller,90.063,200,6,"$10,100",1923
3,9,5,Jimmy Murphy,Durant,Miller/Miller,88.078,200,11,"$7,000",1923
4,14,6,Eddie Hearne,Durant,Miller/Miller,86.646,200,0,"$3,500",1923
5,7,23,L.L. Corum,Barber-Warnock Ford,Ford T/Fronty-Ford,82.851,200,0,"$3,000",1923
6,16,31,Frank Elliott,Durant,Miller/Miller,82.219,200,0,"$2,200",1923
7,10,8,Cliff Durant,Durant,Miller/Miller,82.17,200,4,"$2,200",1923
8,20,15,Max Sailer,Mercedes,Mercedes/Mercedes,80.683,200,0,"$1,600",1923
9,22,19,Prince de Cystria,Bugatti,Bugatti/Bugatti,77.637,200,0,"$1,500",1923
10,24,34,Wade Morton,Duesenberg,Duesenberg/Duesenberg,74.984,200,0,"$1,400",1923
11,15,16,Christian Werner,Mercedes,Mercedes/Mercedes,74.65,200,0,$0,1923
12,6,18,Pierre de Viscaya,Bugatti,Bugatti/Bugatti,Rod,166,0,$0,1923
13,21,28,Leon Duray,Durant,Miller/Miller,Rod,136,0,$0,1923
14,3,3,Dario Resta,Packard,Packard/Packard,Differential,87,0,$0,1923
15,11,2,Ralph DePalma,Packard,Packard/Packard,Head gasket,69,0,$0,1923
16,19,26,Harlan Fengler,Durant,Miller/Miller,Fuel tank,69,0,$0,1923
17,8,25,Howdy Wilcox,H.C.S.,Miller/Miller,Clutch,60,51,"$2,000",1923
18,13,4,Joe Boyer,Packard,Packard/Packard,Differential,59,0,$0,1923
19,18,35,Bennett Hill,Miller,Miller/Miller,Crankshaft,41,0,$0,1923
20,5,27,Count Louis Zborowski,Bugatti,Bugatti/Bugatti,Rod,41,0,$0,1923
21,12,29,Earl Cooper,Durant,Miller/Miller,Accident,21,0,$0,1923
22,23,22,Raul Riganti,Bugatti,Bugatti/Bugatti,Fuel line,19,0,$0,1923
23,17,14,Christian Lautenschlager,Mercedes,Mercedes/Mercedes,Accident,14,0,$0,1923
24,4,21,Martin de Alzaga,Bugatti,Bugatti/Bugatti,Rod,6,0,$0,1923
